"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 12:00:16 GMT 2025","Sun Jul 13 12:00:18 GMT 2025","2079","LMS system","Courses","Courses","","","Проверка отображение пустого списка курсов","
        Отображение компонента Navbar - проверяет, что компонент Navbar корректно отображается на странице
        Отображение компонента Sidebar - проверяет, что компонент Sidebar виден и корректно отрисован
        Отображение заголовка ""Courses"" - проверяет наличие и корректное отображение заголовка страницы
        Отображение кнопки создания курса - проверяет, что кнопка для создания нового курса отображается
        Отображение пустого блока с текстом ""There is no results""- при отсутствии курсов отображается соответствующий блок
        "
"passed","Sun Jul 13 12:00:05 GMT 2025","Sun Jul 13 12:00:07 GMT 2025","1915","LMS system","Authentication","Authorization","","","Проверка авторизации с некорректными данными email=user.name@gmail.com, password=  ",""
"passed","Sun Jul 13 12:00:07 GMT 2025","Sun Jul 13 12:00:09 GMT 2025","1887","LMS system","Authentication","Authorization","","","Проверка авторизации с некорректными данными email=  , password=password",""
"passed","Sun Jul 13 12:00:14 GMT 2025","Sun Jul 13 12:00:17 GMT 2025","3464","LMS system","Courses","Courses","","","Проверка создание нового курса",""
"passed","Sun Jul 13 12:00:09 GMT 2025","Sun Jul 13 12:00:11 GMT 2025","1569","LMS system","Authentication","Authorization","","","Проверка авторизации с некорректными данными email=user.name@gmail.com, password=password",""
"passed","Sun Jul 13 12:00:10 GMT 2025","Sun Jul 13 12:00:11 GMT 2025","1419","LMS system","Authentication","Authorization","","","Проверка перехода из страницы авторизации, на страницу регистрации",""
"passed","Sun Jul 13 12:00:05 GMT 2025","Sun Jul 13 12:00:08 GMT 2025","3761","LMS system","Authentication","Authorization","","","Проверка успешной авторизации",""
"passed","Sun Jul 13 12:00:18 GMT 2025","Sun Jul 13 12:00:21 GMT 2025","2273","LMS system","Dashboard","Dashboard","","","Проверка отображение дашбордов",""
"passed","Sun Jul 13 12:00:18 GMT 2025","Sun Jul 13 12:00:22 GMT 2025","3866","LMS system","Courses","Courses","","","Проверка редактирование курса","
        Открыть страницу #/courses/create.
        Заполнить форму создания курса валидными данными, загрузить изображение и нажать кнопку создания курса.
        Проверить, что на странице /#/courses отображается карточка ранее созданного курса.
        Через меню карточки курса нажать на кнопку ""Edit"".
        Изменить поля: title, estimated time, description, max score, min score и нажать на кнопку сохранения изменений.
        Проверить, что на странице /#/courses отображается карточка курса с обновленными данными.
        "
"passed","Sun Jul 13 12:00:11 GMT 2025","Sun Jul 13 12:00:13 GMT 2025","2167","LMS system","Authentication","Registration","","","Успешная регистрация",""
